Node,Classroom Code,Day Number,Start Time,End Time,People Count,Door Count
510,519,3,900,2200,1,1
510,519,4,900,2200,1,1
510,519,5,900,2200,1,1
512,505,3,1000,1300,33,1
512,505,4,1000,1300,35,1
512,521,3,1030,1130,38,1
512,521,5,1200,1330,38,1
512,521,1,1030,1130,41,1
512,521,3,1330,1430,41,1
512,521,1,1900,2200,20,1
512,521,5,1900,2200,17,1
512,521,4,1900,2200,7,1
512,521,2,1900,2200,14,1
512,521,3,1900,2200,6,1
517,501,1,900,2200,2,1
517,501,2,900,2200,2,1
517,501,3,900,2200,2,1
517,501,4,900,2200,2,1
517,501,5,900,2200,2,1
517,502,1,900,2200,2,1
517,502,2,900,2200,2,1
517,502,3,900,2200,2,1
517,502,4,900,2200,2,1
517,502,5,900,2200,2,1
523,522,1,900,2200,2,1
523,522,2,900,2200,2,1
523,522,3,900,2200,2,1
523,522,4,900,2200,2,1
523,522,5,900,2200,2,1
525,523,1,900,2200,1,1
525,523,2,900,2200,1,1
525,523,3,900,2200,1,1
525,523,4,900,2200,1,1
525,523,5,900,2200,1,1
529,524,1,900,2200,1,1
529,524,2,900,2200,1,1
529,524,3,900,2200,1,1
529,524,4,900,2200,1,1
529,524,5,900,2200,1,1
530,525,1,900,2200,1,1
530,525,2,900,2200,1,1
530,525,3,900,2200,1,1
530,525,4,900,2200,1,1
530,525,5,900,2200,1,1
531,526,1,900,2200,1,1
531,526,2,900,2200,1,1
531,526,3,900,2200,1,1
531,526,4,900,2200,1,1
531,526,5,900,2200,1,1
531,550,1,930,1000,62,2
531,550,1,1430,1530,30,2
531,550,4,1430,1530,30,2
531,550,2,1300,1430,32,2
531,550,4,1300,1430,32,2
531,550,1,1600,1730,38,2
531,550,4,1030,1130,38,2
531,550,1,1030,1200,43,2
531,550,3,1030,1200,43,2
531,550,2,1600,1800,21,2
531,550,4,1600,1800,21,2
531,550,2,1430,1530,37,2
531,550,5,1300,1600,36,2
531,550,3,1300,1500,37,2
531,550,2,1030,1130,13,2
531,550,3,1500,1630,13,2
532,527,1,900,2200,1,1
532,527,2,900,2200,1,1
532,527,3,900,2200,1,1
532,527,4,900,2200,1,1
532,527,5,900,2200,1,1
533,528,1,900,2200,1,1
533,528,2,900,2200,1,1
533,528,3,900,2200,1,1
533,528,4,900,2200,1,1
533,528,5,900,2200,1,1
534,529,1,900,2200,1,1
534,529,2,900,2200,1,1
534,529,3,900,2200,1,1
534,529,4,900,2200,1,1
534,529,5,900,2200,1,1
534,547,5,1000,1300,4,1
535,546,1,1030,1130,10,2
535,546,3,1030,1130,10,2
535,546,5,900,1200,17,2
535,546,1,1730,1820,7,2
535,546,3,1630,1730,7,2
535,546,6,900,1200,5,2
535,546,4,1400,1700,4,2
535,546,2,1400,1700,7,2
541,530,1,900,2200,1,1
541,530,2,900,2200,1,1
541,530,3,900,2200,1,1
541,530,4,900,2200,1,1
